test accuracy,numEpoch,ensemble,hidden nodes,alpha decay,momentum,max Epoch,early stop limit,alpha
0.582817337,123,1,5,1.00E-04,0,1000,0.6,0.1
0.585397317,124,1,5,1.00E-04,0,1000,0.6,0.1
0.580753354,125,1,5,1.00E-04,0,1000,0.6,0.1
0.528121775,126,1,5,1.00E-04,0,1000,0.6,0.1
0.571465428,127,1,5,1.00E-04,0,1000,0.6,0.1
0.575335397,128,1,5,1.00E-04,0,1000,0.6,0.1
0.574045408,129,1,5,1.00E-04,0,1000,0.6,0.1
0.565531476,130,1,5,1.00E-04,0,1000,0.6,0.1
0.595975232,131,1,5,1.00E-04,0,1000,0.6,0.1
0.564241486,132,1,5,1.00E-04,0,1000,0.6,0.1
0.602683179,133,1,5,1.00E-04,0,1000,0.6,0.1
0.595201238,134,1,5,1.00E-04,0,1000,0.6,0.1
0.529411765,135,1,5,1.00E-04,0,1000,0.6,0.1
0.545149639,136,1,5,1.00E-04,0,1000,0.6,0.1
0.562951496,137,1,5,1.00E-04,0,1000,0.6,0.1
0.604489164,138,1,5,1.00E-04,0,1000,0.6,0.1
0.594685243,139,1,5,1.00E-04,0,1000,0.6,0.1
0.578173375,140,1,5,1.00E-04,0,1000,0.6,0.1
0.528637771,141,1,5,1.00E-04,0,1000,0.6,0.1
0.592879257,142,1,5,1.00E-04,0,1000,0.6,0.1
0.593911249,143,1,5,1.00E-04,0,1000,0.6,0.1
0.598297214,144,1,5,1.00E-04,0,1000,0.6,0.1
0.55753354,145,1,5,1.00E-04,0,1000,0.6,0.1
0.584107327,146,1,5,1.00E-04,0,1000,0.6,0.1
0.574819401,147,1,5,1.00E-04,0,1000,0.6,0.1
0.592363261,148,1,5,1.00E-04,0,1000,0.6,0.1
0.514705882,149,1,5,1.00E-04,0,1000,0.6,0.1
0.611713106,150,1,5,1.00E-04,0,1000,0.6,0.1
0.573013416,151,1,5,1.00E-04,0,1000,0.6,0.1
0.567079463,152,1,5,1.00E-04,0,1000,0.6,0.1
0.584107327,153,1,5,1.00E-04,0,1000,0.6,0.1
0.567079463,154,1,5,1.00E-04,0,1000,0.6,0.1
0.497678019,155,1,5,1.00E-04,0,1000,0.6,0.1
0.523993808,156,1,5,1.00E-04,0,1000,0.6,0.1
0.599071207,157,1,5,1.00E-04,0,1000,0.6,0.1
0.473168215,158,1,5,1.00E-04,0,1000,0.6,0.1
0.494840041,159,1,5,1.00E-04,0,1000,0.6,0.1
0.479102167,160,1,5,1.00E-04,0,1000,0.6,0.1
0.583849329,161,1,5,1.00E-04,0,1000,0.6,0.1
0.603199174,162,1,5,1.00E-04,0,1000,0.6,0.1
0.602425181,163,1,5,1.00E-04,0,1000,0.6,0.1
0.611971104,164,1,5,1.00E-04,0,1000,0.6,0.1
0.598813209,165,1,5,1.00E-04,0,1000,0.6,0.1
0.510577915,166,1,5,1.00E-04,0,1000,0.6,0.1
0.269607843,167,1,5,1.00E-04,0,1000,0.6,0.1
0.605521156,168,1,5,1.00E-04,0,1000,0.6,0.1
0.591073271,169,1,5,1.00E-04,0,1000,0.6,0.1
0.571465428,170,1,5,1.00E-04,0,1000,0.6,0.1
0.545665635,171,1,5,1.00E-04,0,1000,0.6,0.1
0.594427245,172,1,5,1.00E-04,0,1000,0.6,0.1
0.602167183,173,1,5,1.00E-04,0,1000,0.6,0.1
0.267027864,174,1,5,1.00E-04,0,1000,0.6,0.1
0.608101135,175,1,5,1.00E-04,0,1000,0.6,0.1
0.534571723,176,1,5,1.00E-04,0,1000,0.6,0.1
0.598039216,177,1,5,1.00E-04,0,1000,0.6,0.1
0.59752322,178,1,5,1.00E-04,0,1000,0.6,0.1
0.55495356,179,1,5,1.00E-04,0,1000,0.6,0.1
0.583591331,180,1,5,1.00E-04,0,1000,0.6,0.1
0.600361197,181,1,5,1.00E-04,0,1000,0.6,0.1
0.59623323,182,1,5,1.00E-04,0,1000,0.6,0.1
0.595717234,183,1,5,1.00E-04,0,1000,0.6,0.1
0.554695562,184,1,5,1.00E-04,0,1000,0.6,0.1
0.576625387,185,1,5,1.00E-04,0,1000,0.6,0.1
0.581527348,186,1,5,1.00E-04,0,1000,0.6,0.1
0.60371517,187,1,5,1.00E-04,0,1000,0.6,0.1
0.566821465,188,1,5,1.00E-04,0,1000,0.6,0.1
0.559597523,189,1,5,1.00E-04,0,1000,0.6,0.1
0.589525284,190,1,5,1.00E-04,0,1000,0.6,0.1
0.577141383,191,1,5,1.00E-04,0,1000,0.6,0.1
0.586171311,192,1,5,1.00E-04,0,1000,0.6,0.1
0.591073271,193,1,5,1.00E-04,0,1000,0.6,0.1
0.594427245,194,1,5,1.00E-04,0,1000,0.6,0.1
0.57997936,195,1,5,1.00E-04,0,1000,0.6,0.1
0.593137255,196,1,5,1.00E-04,0,1000,0.6,0.1
0.600619195,197,1,5,1.00E-04,0,1000,0.6,0.1
0.584881321,198,1,5,1.00E-04,0,1000,0.6,0.1
0.58255934,199,1,5,1.00E-04,0,1000,0.6,0.1
0.59752322,200,1,5,1.00E-04,0,1000,0.6,0.1
0.573529412,201,1,5,1.00E-04,0,1000,0.6,0.1
0.573529412,202,1,5,1.00E-04,0,1000,0.6,0.1
0.573529412,203,1,5,1.00E-04,0,1000,0.6,0.1
0.570691434,204,1,5,1.00E-04,0,1000,0.6,0.1
0.574303406,205,1,5,1.00E-04,0,1000,0.6,0.1
0.528637771,206,1,5,1.00E-04,0,1000,0.6,0.1
0.580495356,207,1,5,1.00E-04,0,1000,0.6,0.1
0.587977296,208,1,5,1.00E-04,0,1000,0.6,0.1
0.500773994,209,1,5,1.00E-04,0,1000,0.6,0.1
0.600619195,210,1,5,1.00E-04,0,1000,0.6,0.1
0.546181631,211,1,5,1.00E-04,0,1000,0.6,0.1
0.601909185,212,1,5,1.00E-04,0,1000,0.6,0.1
0.54127967,213,1,5,1.00E-04,0,1000,0.6,0.1
0.546955624,214,1,5,1.00E-04,0,1000,0.6,0.1
0.607069143,215,1,5,1.00E-04,0,1000,0.6,0.1
0.544375645,216,1,5,1.00E-04,0,1000,0.6,0.1
0.590815273,217,1,5,1.00E-04,0,1000,0.6,0.1
0.593137255,218,1,5,1.00E-04,0,1000,0.6,0.1
0.59494324,219,1,5,1.00E-04,0,1000,0.6,0.1
0.571981424,220,1,5,1.00E-04,0,1000,0.6,0.1
0.544375645,221,1,5,1.00E-04,0,1000,0.6,0.1
0.590815273,222,1,5,1.00E-04,0,1000,0.6,0.1
0.593653251,223,1,5,1.00E-04,0,1000,0.6,0.1
0.598555212,224,1,5,1.00E-04,0,1000,0.6,0.1
0.48245614,225,1,5,1.00E-04,0,1000,0.6,0.1
0.593395253,226,1,5,1.00E-04,0,1000,0.6,0.1
0.619195046,227,1,5,1.00E-04,0,1000,0.6,0.1
0.549019608,228,1,5,1.00E-04,0,1000,0.6,0.1
0.582301342,229,1,5,1.00E-04,0,1000,0.6,0.1
0.613519092,230,1,5,1.00E-04,0,1000,0.6,0.1
0.590815273,231,1,5,1.00E-04,0,1000,0.6,0.1
0.607585139,232,1,5,1.00E-04,0,1000,0.6,0.1
0.552889577,233,1,5,1.00E-04,0,1000,0.6,0.1
0.600619195,234,1,5,1.00E-04,0,1000,0.6,0.1
0.595459236,235,1,5,1.00E-04,0,1000,0.6,0.1
